date,product,location,demand_kg,price_per_kg
2026-04-06,Tomato,Delhi NCR,4218,25.28
2026-04-07,Tomato,Delhi NCR,4336,22.13
2026-04-08,Tomato,Delhi NCR,4328,24.58
2026-04-09,Tomato,Delhi NCR,4136,24.23
2026-04-10,Tomato,Delhi NCR,4305,22.29
2026-04-11,Tomato,Delhi NCR,4607,24.84
2026-04-12,Tomato,Delhi NCR,4736,25.58
2026-04-13,Tomato,Delhi NCR,4042,22.59
2026-04-14,Tomato,Delhi NCR,4381,24.77
2026-04-15,Tomato,Delhi NCR,4379,29.78
2026-04-16,Tomato,Delhi NCR,4387,25.7
2026-04-17,Tomato,Delhi NCR,4453,24.98
2026-04-18,Tomato,Delhi NCR,4473,25.14
2026-04-19,Tomato,Delhi NCR,4388,23.64
2026-04-20,Tomato,Delhi NCR,4187,24.12
2026-04-21,Tomato,Delhi NCR,4688,21.2
2026-04-22,Tomato,Delhi NCR,4392,21.58
2026-04-23,Tomato,Delhi NCR,4180,25.63
2026-04-24,Tomato,Delhi NCR,4274,22.38
2026-04-25,Tomato,Delhi NCR,4380,25.02
2026-04-26,Tomato,Delhi NCR,4374,24.32
2026-04-27,Tomato,Delhi NCR,4260,23.02
2026-04-28,Tomato,Delhi NCR,4634,24.95
2026-04-29,Tomato,Delhi NCR,3880,24.28
2026-04-30,Tomato,Delhi NCR,4121,25.28
2026-05-01,Tomato,Delhi NCR,4093,23.83
2026-05-02,Tomato,Delhi NCR,4572,25.3
2026-05-03,Tomato,Delhi NCR,4261,23.5
2026-05-04,Tomato,Delhi NCR,4137,23.02
2026-05-05,Tomato,Delhi NCR,4536,24.61
2026-05-06,Tomato,Delhi NCR,3986,25.38
2026-05-07,Tomato,Delhi NCR,4590,25.55
2026-05-08,Tomato,Delhi NCR,3930,23.27
2026-05-09,Tomato,Delhi NCR,4676,22.94
2026-05-10,Tomato,Delhi NCR,4523,25.16
2026-05-11,Tomato,Delhi NCR,4021,23.91
2026-05-12,Tomato,Delhi NCR,3599,22.46
2026-05-13,Tomato,Delhi NCR,4131,22.13
2026-05-14,Tomato,Delhi NCR,4464,21.85
2026-05-15,Tomato,Delhi NCR,4086,24.2
2026-05-16,Tomato,Delhi NCR,4668,21.85
2026-05-17,Tomato,Delhi NCR,4612,24.02
2026-05-18,Tomato,Delhi NCR,3970,24.69
2026-05-19,Tomato,Delhi NCR,4176,23.1
2026-05-20,Tomato,Delhi NCR,4147,23.42
2026-05-21,Tomato,Delhi NCR,4148,24.99
2026-05-22,Tomato,Delhi NCR,4407,22.14
2026-05-23,Tomato,Delhi NCR,4748,21.07
2026-05-24,Tomato,Delhi NCR,4330,24.88
2026-05-25,Tomato,Delhi NCR,4151,23.07
2026-05-26,Tomato,Delhi NCR,4056,23.26
2026-05-27,Tomato,Delhi NCR,3981,25.27
2026-05-28,Tomato,Delhi NCR,4144,22.96
2026-05-29,Tomato,Delhi NCR,4235,24.46
2026-05-30,Tomato,Delhi NCR,4462,24.94
2026-05-31,Tomato,Delhi NCR,4159,23.16
2026-06-01,Tomato,Delhi NCR,4185,24.92
2026-06-02,Tomato,Delhi NCR,4039,24.18
2026-06-03,Tomato,Delhi NCR,4266,23.11
2026-06-04,Tomato,Delhi NCR,4126,23.7
2026-06-05,Tomato,Delhi NCR,3981,25.65
2026-06-06,Tomato,Delhi NCR,4411,25.22
2026-06-07,Tomato,Delhi NCR,4490,24.03
2026-06-08,Tomato,Delhi NCR,4120,23.53
2026-06-09,Tomato,Delhi NCR,4047,23.8
2026-06-10,Tomato,Delhi NCR,3998,24.89
2026-06-11,Tomato,Delhi NCR,3826,27.14
2026-06-12,Tomato,Delhi NCR,3784,22.18
2026-06-13,Tomato,Delhi NCR,4415,25.19
2026-06-14,Tomato,Delhi NCR,4311,24.94
2026-06-15,Tomato,Delhi NCR,3938,22.65
2026-06-16,Tomato,Delhi NCR,3945,22.98
2026-06-17,Tomato,Delhi NCR,4099,23.78
2026-06-18,Tomato,Delhi NCR,3767,23.52
2026-06-19,Tomato,Delhi NCR,3981,23.15
2026-06-20,Tomato,Delhi NCR,4000,24.37
2026-06-21,Tomato,Delhi NCR,4184,23.24
2026-06-22,Tomato,Delhi NCR,3797,24.35
2026-06-23,Tomato,Delhi NCR,3612,21.89
2026-06-24,Tomato,Delhi NCR,3735,23.68
2026-06-25,Tomato,Delhi NCR,3912,26.21
2026-06-26,Tomato,Delhi NCR,4002,23.76
2026-06-27,Tomato,Delhi NCR,4085,22.5
2026-06-28,Tomato,Delhi NCR,4077,23.57
2026-06-29,Tomato,Delhi NCR,3880,22.76
2026-06-30,Tomato,Delhi NCR,3906,26.3
2026-07-01,Tomato,Delhi NCR,3785,24.6
2026-07-02,Tomato,Delhi NCR,3920,23.4
2026-07-03,Tomato,Delhi NCR,3827,24.02
2026-07-04,Tomato,Delhi NCR,4046,22.84
2026-07-05,Tomato,Delhi NCR,4024,24.75
2026-07-06,Tomato,Delhi NCR,4023,25.44
2026-07-07,Tomato,Delhi NCR,4140,22.85
2026-07-08,Tomato,Delhi NCR,3901,24.28
2026-07-09,Tomato,Delhi NCR,4130,22.79
2026-07-10,Tomato,Delhi NCR,3576,23.1
2026-07-11,Tomato,Delhi NCR,3586,23.21
2026-07-12,Tomato,Delhi NCR,3823,24.23
2026-07-13,Tomato,Delhi NCR,3763,26.81
2026-07-14,Tomato,Delhi NCR,3864,23.13
2026-07-15,Tomato,Delhi NCR,3523,24.74
2026-07-16,Tomato,Delhi NCR,3439,26.75
2026-07-17,Tomato,Delhi NCR,3880,23.3
2026-07-18,Tomato,Delhi NCR,3602,26.03
2026-07-19,Tomato,Delhi NCR,3881,25.86
2026-07-20,Tomato,Delhi NCR,3356,23.1
2026-07-21,Tomato,Delhi NCR,3636,24.07
2026-07-22,Tomato,Delhi NCR,3546,24.93
2026-07-23,Tomato,Delhi NCR,3427,23.79
2026-07-24,Tomato,Delhi NCR,3633,24.77
2026-07-25,Tomato,Delhi NCR,3981,22.31
2026-07-26,Tomato,Delhi NCR,3569,25.92
2026-07-27,Tomato,Delhi NCR,3647,22.88
2026-07-28,Tomato,Delhi NCR,3859,24.17
2026-07-29,Tomato,Delhi NCR,3784,24.1
2026-07-30,Tomato,Delhi NCR,3935,26.63
2026-07-31,Tomato,Delhi NCR,3512,25.46
2026-08-01,Tomato,Delhi NCR,3916,26.05
2026-08-02,Tomato,Delhi NCR,3618,25.03
2026-08-03,Tomato,Delhi NCR,3725,21.36
2026-08-04,Tomato,Delhi NCR,3314,20.94
2026-08-05,Tomato,Delhi NCR,3472,25.08
2026-08-06,Tomato,Delhi NCR,3784,24.11
2026-08-07,Tomato,Delhi NCR,3799,21.93
2026-08-08,Tomato,Delhi NCR,3443,23.92
2026-08-09,Tomato,Delhi NCR,3811,23.95
2026-08-10,Tomato,Delhi NCR,3113,23.87
2026-08-11,Tomato,Delhi NCR,3244,25.0
2026-08-12,Tomato,Delhi NCR,3538,22.59
2026-08-13,Tomato,Delhi NCR,3373,22.41
2026-08-14,Tomato,Delhi NCR,3448,25.43
2026-08-15,Tomato,Delhi NCR,3526,24.76
2026-08-16,Tomato,Delhi NCR,3602,22.81
2026-08-17,Tomato,Delhi NCR,3422,22.45
2026-08-18,Tomato,Delhi NCR,3336,22.2
2026-08-19,Tomato,Delhi NCR,3783,24.05
2026-08-20,Tomato,Delhi NCR,3298,24.32
2026-08-21,Tomato,Delhi NCR,3398,23.67
2026-08-22,Tomato,Delhi NCR,3773,25.14
2026-08-23,Tomato,Delhi NCR,3562,23.14
2026-08-24,Tomato,Delhi NCR,3352,20.55
2026-08-25,Tomato,Delhi NCR,3124,26.05
